time,open,high,low,close,tick_volume,spread,real_volume
2026-01-01 22:00:00+00:00,1.1746,1.1746,1.17383,1.17459,8,64,0
2026-01-01 22:05:00+00:00,1.17459,1.1747,1.17459,1.1747,9,53,0
2026-01-01 22:10:00+00:00,1.1747,1.17498,1.1747,1.1749100000000001,34,26,0
2026-01-01 22:15:00+00:00,1.1749100000000001,1.17493,1.17481,1.17483,45,28,0
2026-01-01 22:20:00+00:00,1.17483,1.17484,1.17474,1.1748,25,34,0
2026-01-01 22:25:00+00:00,1.17475,1.17481,1.17465,1.1747,34,42,0
2026-01-01 22:30:00+00:00,1.1747,1.1747,1.17463,1.17465,18,59,0
2026-01-01 22:35:00+00:00,1.17465,1.17473,1.17464,1.17472,13,53,0
2026-01-01 22:40:00+00:00,1.17472,1.17472,1.17464,1.1746699999999999,44,48,0
2026-01-01 22:45:00+00:00,1.1746699999999999,1.1746699999999999,1.17453,1.17463,25,50,0
2026-01-01 22:50:00+00:00,1.17463,1.1746699999999999,1.1745,1.17458,48,47,0
2026-01-01 22:55:00+00:00,1.17458,1.17464,1.17452,1.1745700000000001,50,48,0
2026-01-01 23:00:00+00:00,1.1745700000000001,1.1748,1.17446,1.17477,118,0,0
2026-01-01 23:05:00+00:00,1.17477,1.17484,1.17472,1.17481,41,0,0
2026-01-01 23:10:00+00:00,1.17481,1.17485,1.17459,1.1746699999999999,74,0,0
2026-01-01 23:15:00+00:00,1.17466,1.17477,1.17461,1.17476,71,0,0
2026-01-01 23:20:00+00:00,1.17476,1.17488,1.17476,1.17487,42,0,0
2026-01-01 23:25:00+00:00,1.17487,1.17493,1.17471,1.17471,53,0,0
2026-01-01 23:30:00+00:00,1.17471,1.17489,1.17466,1.17488,50,0,0
2026-01-01 23:35:00+00:00,1.17488,1.17497,1.17483,1.17486,48,0,0
2026-01-01 23:40:00+00:00,1.17486,1.17497,1.17485,1.17496,45,0,0
2026-01-01 23:45:00+00:00,1.17496,1.17502,1.17485,1.17486,48,0,0
2026-01-01 23:50:00+00:00,1.17486,1.17498,1.17485,1.17498,55,0,0
2026-01-01 23:55:00+00:00,1.17498,1.17508,1.17495,1.17508,50,0,0
2026-01-02 00:00:00+00:00,1.17508,1.17511,1.1750099999999999,1.17507,100,0,0
2026-01-02 00:05:00+00:00,1.17506,1.1753,1.175,1.1753,80,0,0
2026-01-02 00:10:00+00:00,1.1753,1.17535,1.17526,1.17529,77,0,0
2026-01-02 00:15:00+00:00,1.17529,1.17529,1.1751800000000001,1.17523,98,0,0
2026-01-02 00:20:00+00:00,1.17523,1.17526,1.17515,1.17522,85,0,0
2026-01-02 00:25:00+00:00,1.17522,1.17522,1.17515,1.17519,52,0,0
2026-01-02 00:30:00+00:00,1.17519,1.17529,1.1751800000000001,1.17519,74,0,0
2026-01-02 00:35:00+00:00,1.17519,1.1752799999999999,1.17512,1.17519,70,0,0
2026-01-02 00:40:00+00:00,1.17519,1.17525,1.17511,1.17525,68,0,0
2026-01-02 00:45:00+00:00,1.17524,1.17539,1.17521,1.17536,121,0,0
2026-01-02 00:50:00+00:00,1.17536,1.17551,1.17536,1.1755,70,0,0
2026-01-02 00:55:00+00:00,1.1755,1.17566,1.17548,1.17563,102,0,0
2026-01-02 01:00:00+00:00,1.17564,1.1759,1.17564,1.17587,186,0,0
2026-01-02 01:05:00+00:00,1.17587,1.17605,1.17576,1.17583,245,0,0
2026-01-02 01:10:00+00:00,1.17583,1.17585,1.17565,1.17569,133,0,0
2026-01-02 01:15:00+00:00,1.17569,1.17588,1.17568,1.17586,140,0,0
2026-01-02 01:20:00+00:00,1.17586,1.17594,1.17581,1.1758899999999999,151,0,0
2026-01-02 01:25:00+00:00,1.1758899999999999,1.17605,1.17583,1.17605,79,0,0
2026-01-02 01:30:00+00:00,1.17605,1.17619,1.17584,1.17587,182,0,0
2026-01-02 01:35:00+00:00,1.17588,1.17595,1.17582,1.17588,99,0,0
2026-01-02 01:40:00+00:00,1.17588,1.17605,1.17588,1.17599,55,0,0
2026-01-02 01:45:00+00:00,1.17602,1.17619,1.17593,1.17619,91,0,0
2026-01-02 01:50:00+00:00,1.17619,1.17628,1.1761,1.1761300000000001,179,0,0
2026-01-02 01:55:00+00:00,1.1761300000000001,1.17622,1.17608,1.1761,105,0,0
2026-01-02 02:00:00+00:00,1.1761,1.17631,1.17602,1.17631,136,0,0
2026-01-02 02:05:00+00:00,1.17631,1.17637,1.17624,1.17635,113,0,0
2026-01-02 02:10:00+00:00,1.17635,1.17636,1.17625,1.17634,77,0,0
2026-01-02 02:15:00+00:00,1.17634,1.17636,1.17616,1.1762,100,0,0
2026-01-02 02:20:00+00:00,1.1762,1.17621,1.17611,1.17619,60,0,0
2026-01-02 02:25:00+00:00,1.17619,1.17622,1.17607,1.17612,110,0,0
2026-01-02 02:30:00+00:00,1.17612,1.17612,1.17597,1.17602,92,0,0
2026-01-02 02:35:00+00:00,1.17602,1.17603,1.1759,1.17592,105,0,0
2026-01-02 02:40:00+00:00,1.17592,1.17603,1.17585,1.17603,71,0,0
2026-01-02 02:45:00+00:00,1.17603,1.17604,1.17595,1.17596,71,0,0
2026-01-02 02:50:00+00:00,1.17596,1.17598,1.17583,1.17584,87,0,0
2026-01-02 02:55:00+00:00,1.17584,1.17595,1.17582,1.17593,106,0,0
2026-01-02 03:00:00+00:00,1.17593,1.17622,1.17592,1.17619,75,0,0
2026-01-02 03:05:00+00:00,1.17619,1.17624,1.17605,1.17617,83,0,0
2026-01-02 03:10:00+00:00,1.17617,1.17621,1.17607,1.17619,48,0,0
