time,open,high,low,close,tick_volume,spread,real_volume
2013-12-31 22:00:00+00:00,1.3755,1.37648,1.37372,1.3758,2671,4,0
2014-01-01 22:00:00+00:00,1.37581,1.3774899999999999,1.36294,1.36643,58177,1,0
2014-01-02 22:00:00+00:00,1.36643,1.36716,1.35821,1.35874,38433,1,0
2014-01-05 22:00:00+00:00,1.35955,1.36528,1.35712,1.36334,40642,1,0
2014-01-06 22:00:00+00:00,1.36334,1.36562,1.3596599999999999,1.36138,38225,1,0
2014-01-07 22:00:00+00:00,1.36142,1.36349,1.35533,1.3574899999999999,41559,1,0
2014-01-08 22:00:00+00:00,1.35746,1.36328,1.35484,1.36017,41634,1,0
2014-01-09 22:00:00+00:00,1.36016,1.36871,1.35721,1.36665,38148,1,0
2014-01-12 22:00:00+00:00,1.36662,1.36846,1.3637299999999999,1.3668,38040,1,0
2014-01-13 22:00:00+00:00,1.3668,1.36992,1.3649,1.36722,38446,1,0
2014-01-14 22:00:00+00:00,1.36728,1.3676,1.35812,1.36042,38011,1,0
2014-01-15 22:00:00+00:00,1.36043,1.3649200000000001,1.3583,1.36162,39055,1,0
2014-01-16 22:00:00+00:00,1.36163,1.36208,1.35168,1.35405,35641,1,0
2014-01-19 22:00:00+00:00,1.35325,1.35677,1.35074,1.35557,29493,1,0
2014-01-20 22:00:00+00:00,1.35557,1.35687,1.35162,1.35591,37867,1,0
2014-01-21 22:00:00+00:00,1.35588,1.35832,1.35344,1.35447,37004,1,0
2014-01-22 22:00:00+00:00,1.3545099999999999,1.36981,1.35303,1.36931,47468,1,0
2014-01-23 22:00:00+00:00,1.3693,1.37393,1.36627,1.36752,46994,1,0
2014-01-26 22:00:00+00:00,1.3679999999999999,1.3716300000000001,1.36529,1.36728,43910,1,0
2014-01-27 22:00:00+00:00,1.3673,1.36882,1.3629,1.36517,38227,1,0
2014-01-28 22:00:00+00:00,1.3651900000000001,1.36845,1.36029,1.36608,47676,1,0
2014-01-29 22:00:00+00:00,1.36609,1.36642,1.35434,1.35565,45145,1,0
2014-01-30 22:00:00+00:00,1.35567,1.35733,1.3479,1.34849,47059,1,0
2014-02-02 22:00:00+00:00,1.34855,1.3535300000000001,1.3477000000000001,1.3525800000000001,43781,1,0
2014-02-03 22:00:00+00:00,1.3526,1.35384,1.34934,1.3514300000000001,40329,1,0
2014-02-04 22:00:00+00:00,1.35147,1.35552,1.34986,1.35361,47210,1,0
2014-02-05 22:00:00+00:00,1.35361,1.36188,1.3484099999999999,1.35898,48216,1,0
2014-02-06 22:00:00+00:00,1.35898,1.36425,1.35516,1.36342,44538,1,0
2014-02-09 22:00:00+00:00,1.36232,1.36513,1.36179,1.36442,27636,1,0
2014-02-10 22:00:00+00:00,1.36441,1.3682699999999999,1.36291,1.36372,33489,1,0
2014-02-11 22:00:00+00:00,1.36375,1.36525,1.3562,1.35948,36133,1,0
2014-02-12 22:00:00+00:00,1.35952,1.36916,1.35852,1.36787,37460,1,0
2014-02-13 22:00:00+00:00,1.36785,1.37145,1.36735,1.36918,33344,1,0
2014-02-16 22:00:00+00:00,1.3700700000000001,1.3724,1.3691900000000001,1.37047,24586,1,0
2014-02-17 22:00:00+00:00,1.37047,1.37696,1.36943,1.37604,32249,1,0
2014-02-18 22:00:00+00:00,1.37601,1.3773,1.37242,1.37321,28902,1,0
2014-02-19 22:00:00+00:00,1.3732199999999999,1.37623,1.36857,1.37202,34472,1,0
2014-02-20 22:00:00+00:00,1.37208,1.37583,1.37018,1.3738000000000001,28282,1,0
2014-02-23 22:00:00+00:00,1.37382,1.3771,1.37081,1.37336,29773,1,0
2014-02-24 22:00:00+00:00,1.37337,1.37668,1.37152,1.37447,32276,1,0
2014-02-25 22:00:00+00:00,1.37449,1.37569,1.3661400000000001,1.3683100000000001,33706,1,0
2014-02-26 22:00:00+00:00,1.3683100000000001,1.37266,1.3643,1.3708,34317,1,0
2014-02-27 22:00:00+00:00,1.37081,1.3824100000000001,1.3694,1.38016,40727,1,0
2014-03-02 22:00:00+00:00,1.37856,1.37924,1.3726,1.37361,36361,1,0
2014-03-03 22:00:00+00:00,1.37362,1.37812,1.37206,1.37395,33935,1,0
2014-03-04 22:00:00+00:00,1.37396,1.37491,1.37072,1.37361,31361,1,0
2014-03-05 22:00:00+00:00,1.37361,1.38723,1.3721,1.38596,36167,1,0
2014-03-06 22:00:00+00:00,1.38599,1.39146,1.38522,1.38746,46042,1,0
2014-03-09 21:00:00+00:00,1.38761,1.3897599999999999,1.38614,1.38769,47649,1,0
2014-03-10 21:00:00+00:00,1.38767,1.38784,1.38335,1.38545,52547,1,0
2014-03-11 21:00:00+00:00,1.38545,1.39142,1.38432,1.39018,57901,1,0
2014-03-12 21:00:00+00:00,1.39018,1.39666,1.3845399999999999,1.38676,89631,1,0
2014-03-13 21:00:00+00:00,1.38676,1.39374,1.38473,1.39134,77345,1,0
2014-03-16 21:00:00+00:00,1.39062,1.39474,1.38788,1.39252,54594,1,0
2014-03-17 21:00:00+00:00,1.3925100000000001,1.3942700000000001,1.38797,1.39304,65481,1,0
