time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02 00:00:00+00:00,1.12119,1.12159,1.12081,1.12147,414,4,0
2020-01-02 01:00:00+00:00,1.12147,1.1222,1.12146,1.12188,755,0,0
2020-01-02 02:00:00+00:00,1.12188,1.12192,1.1215600000000001,1.12183,704,0,0
2020-01-02 03:00:00+00:00,1.12183,1.12245,1.12181,1.1221,1000,0,0
2020-01-02 04:00:00+00:00,1.12209,1.12246,1.12184,1.12224,737,0,0
2020-01-02 05:00:00+00:00,1.12225,1.12231,1.12124,1.12133,843,0,0
2020-01-02 06:00:00+00:00,1.12133,1.12144,1.12009,1.12012,888,0,0
2020-01-02 07:00:00+00:00,1.12011,1.12044,1.1201,1.12044,943,0,0
2020-01-02 08:00:00+00:00,1.12044,1.12076,1.12038,1.12076,986,0,0
2020-01-02 09:00:00+00:00,1.1208,1.12102,1.12044,1.12098,2065,0,0
2020-01-02 10:00:00+00:00,1.12098,1.12138,1.12052,1.1212,2325,0,0
2020-01-02 11:00:00+00:00,1.12119,1.1214,1.12012,1.12031,1773,0,0
2020-01-02 12:00:00+00:00,1.12031,1.12038,1.11928,1.11983,1822,0,0
2020-01-02 13:00:00+00:00,1.11982,1.12022,1.11842,1.11848,2224,0,0
2020-01-02 14:00:00+00:00,1.11848,1.11943,1.1183,1.1193,1864,0,0
2020-01-02 15:00:00+00:00,1.1193,1.11971,1.11896,1.11963,2254,0,0
2020-01-02 16:00:00+00:00,1.11963,1.11964,1.11701,1.1174,3645,0,0
2020-01-02 17:00:00+00:00,1.11741,1.12024,1.1171,1.12006,4164,0,0
2020-01-02 18:00:00+00:00,1.12006,1.12031,1.11652,1.11662,3632,0,0
2020-01-02 19:00:00+00:00,1.11662,1.11718,1.11636,1.11698,2111,0,0
2020-01-02 20:00:00+00:00,1.11699,1.11723,1.11636,1.11702,1813,0,0
2020-01-02 21:00:00+00:00,1.11702,1.11704,1.11643,1.11664,1618,0,0
2020-01-02 22:00:00+00:00,1.11663,1.11716,1.11659,1.11692,1215,0,0
2020-01-02 23:00:00+00:00,1.11692,1.11734,1.11691,1.11726,618,0,0
2020-01-03 00:00:00+00:00,1.11717,1.11726,1.11688,1.11712,367,6,0
2020-01-03 01:00:00+00:00,1.11712,1.11735,1.11702,1.11708,448,0,0
2020-01-03 02:00:00+00:00,1.11708,1.11761,1.11698,1.11755,691,0,0
2020-01-03 03:00:00+00:00,1.11754,1.11785,1.11723,1.11736,1184,0,0
2020-01-03 04:00:00+00:00,1.11736,1.11776,1.11719,1.11726,1950,0,0
2020-01-03 05:00:00+00:00,1.11726,1.11737,1.11696,1.11722,1218,0,0
2020-01-03 06:00:00+00:00,1.11722,1.1175,1.11686,1.117,904,0,0
2020-01-03 07:00:00+00:00,1.117,1.11706,1.11644,1.11664,1498,0,0
2020-01-03 08:00:00+00:00,1.11664,1.11696,1.1164,1.11692,1175,0,0
2020-01-03 09:00:00+00:00,1.11692,1.11716,1.11522,1.11533,3630,0,0
2020-01-03 10:00:00+00:00,1.11533,1.11605,1.11506,1.1151200000000001,3110,0,0
2020-01-03 11:00:00+00:00,1.1151200000000001,1.11524,1.114,1.11402,2935,0,0
2020-01-03 12:00:00+00:00,1.11402,1.1143399999999999,1.11306,1.11361,3112,0,0
2020-01-03 13:00:00+00:00,1.11361,1.11361,1.1125,1.113,2705,0,0
2020-01-03 14:00:00+00:00,1.113,1.11426,1.11282,1.1139000000000001,2231,0,0
2020-01-03 15:00:00+00:00,1.1139000000000001,1.11488,1.11374,1.11382,2539,0,0
2020-01-03 16:00:00+00:00,1.11382,1.11542,1.11353,1.11524,2784,0,0
2020-01-03 17:00:00+00:00,1.11524,1.11674,1.11524,1.11634,4461,0,0
2020-01-03 18:00:00+00:00,1.11634,1.11798,1.11624,1.1172,3159,0,0
2020-01-03 19:00:00+00:00,1.1172,1.11741,1.1168,1.11722,1818,0,0
2020-01-03 20:00:00+00:00,1.11722,1.11732,1.1166,1.11667,2227,0,0
2020-01-03 21:00:00+00:00,1.11666,1.11681,1.11612,1.11674,2244,0,0
2020-01-03 22:00:00+00:00,1.11674,1.11674,1.116,1.11616,978,0,0
2020-01-03 23:00:00+00:00,1.11616,1.11621,1.1152,1.11568,904,0,0
2020-01-06 00:00:00+00:00,1.11577,1.11667,1.11577,1.11591,523,2,0
2020-01-06 01:00:00+00:00,1.11595,1.1167799999999999,1.11593,1.11605,2379,0,0
2020-01-06 02:00:00+00:00,1.11603,1.11684,1.11602,1.11636,1652,0,0
2020-01-06 03:00:00+00:00,1.11636,1.11655,1.11613,1.11628,1529,0,0
2020-01-06 04:00:00+00:00,1.11628,1.11671,1.11624,1.11655,865,0,0
2020-01-06 05:00:00+00:00,1.11656,1.1171,1.11654,1.11658,1102,0,0
2020-01-06 06:00:00+00:00,1.11658,1.11662,1.1161699999999999,1.11644,879,0,0
2020-01-06 07:00:00+00:00,1.11644,1.11651,1.11606,1.11624,600,0,0
2020-01-06 08:00:00+00:00,1.11624,1.11625,1.11572,1.11609,1136,0,0
2020-01-06 09:00:00+00:00,1.11608,1.11667,1.11598,1.11646,2397,0,0
2020-01-06 10:00:00+00:00,1.11646,1.11798,1.11632,1.11786,3034,0,0
2020-01-06 11:00:00+00:00,1.11785,1.11937,1.11752,1.11934,2782,0,0
2020-01-06 12:00:00+00:00,1.11934,1.11996,1.119,1.11963,2329,0,0
2020-01-06 13:00:00+00:00,1.11962,1.12056,1.11962,1.12032,2530,0,0
2020-01-06 14:00:00+00:00,1.12033,1.12043,1.11952,1.11981,1532,0,0
2020-01-06 15:00:00+00:00,1.11983,1.12031,1.1191200000000001,1.11976,2355,0,0
2020-01-06 16:00:00+00:00,1.11976,1.12002,1.11826,1.11832,2633,0,0
2020-01-06 17:00:00+00:00,1.11832,1.11902,1.11822,1.11886,3106,0,0
2020-01-06 18:00:00+00:00,1.11888,1.11897,1.1181,1.11872,2179,0,0
2020-01-06 19:00:00+00:00,1.11872,1.1196,1.11842,1.1195,1578,0,0
2020-01-06 20:00:00+00:00,1.11952,1.1198,1.11918,1.11919,1077,0,0
2020-01-06 21:00:00+00:00,1.11918,1.11928,1.1188,1.1191200000000001,1319,0,0
2020-01-06 22:00:00+00:00,1.11914,1.11939,1.1189,1.11936,1171,0,0
2020-01-06 23:00:00+00:00,1.11934,1.11991,1.11929,1.11969,706,0,0
2020-01-07 00:00:00+00:00,1.11968,1.11968,1.11933,1.11954,604,2,0
2020-01-07 01:00:00+00:00,1.11955,1.11974,1.1194,1.11954,837,0,0
2020-01-07 02:00:00+00:00,1.11954,1.1195599999999999,1.11892,1.11898,991,0,0
2020-01-07 03:00:00+00:00,1.11898,1.1197,1.11896,1.11934,926,0,0
2020-01-07 04:00:00+00:00,1.11934,1.11934,1.1191,1.11915,482,0,0
2020-01-07 05:00:00+00:00,1.11915,1.11944,1.1191200000000001,1.11922,680,0,0
2020-01-07 06:00:00+00:00,1.11922,1.11935,1.11906,1.1191,660,0,0
2020-01-07 07:00:00+00:00,1.1191,1.11926,1.11828,1.1183,717,0,0
2020-01-07 08:00:00+00:00,1.1183,1.11898,1.11809,1.11818,2260,0,0
2020-01-07 09:00:00+00:00,1.11816,1.11854,1.1173,1.11741,2922,0,0
2020-01-07 10:00:00+00:00,1.11741,1.11876,1.11726,1.11848,3283,0,0
2020-01-07 11:00:00+00:00,1.11847,1.11896,1.11806,1.11846,2506,0,0
2020-01-07 12:00:00+00:00,1.11846,1.11862,1.11649,1.11762,3060,0,0
2020-01-07 13:00:00+00:00,1.11762,1.11849,1.11721,1.11818,2391,0,0
2020-01-07 14:00:00+00:00,1.11817,1.11832,1.1171,1.11748,2122,0,0
2020-01-07 15:00:00+00:00,1.11747,1.11778,1.11547,1.11563,3481,0,0
2020-01-07 16:00:00+00:00,1.11562,1.11622,1.11465,1.11478,3439,0,0
2020-01-07 17:00:00+00:00,1.11469,1.11518,1.11343,1.11416,4287,0,0
2020-01-07 18:00:00+00:00,1.11416,1.1144,1.11336,1.11369,2380,0,0
2020-01-07 19:00:00+00:00,1.11369,1.11474,1.11368,1.11424,1848,0,0
